"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"multiple_response","A project team has recently implemented a software system to replace some of an organization’s internal manual processes. Although training has already taken place, some end users are resistant to the change and prefer the old manual methods.

Which two actions should the project manager take to ensure the new software is adopted by all users and that the transition is smooth? (Choose 2)","Engage the benefits owner about further training on the new software after implementation.","Work with internal stakeholders to offer incentives for using the new software.","Work with the process owner on a plan to phase out the old manual methods.","Ignore the resistance and continue with implementation.","Work with one business unit or functional department to implement the change as a pilot.","C,E","Resistance to change can be a natural response, and project managers should know how to work with organizational change management methods and owners to facilitate positive receiving environments for their projects. Working with the process owner to create a transition plan or including a pilot for the project can be effective ways to ease this organization into a change. Incentivizing is not a sustainable solution, and ignoring a problem is hardly ever the best option. Providing further training can be perceived as a burden to end users, and it should take place before the implementation.","3.4","Agnostic","","draft",""
"multiple_response","A product development team composed of one product owner and several global team members, all working virtually, has several projects in progress. A team member finishes a project and, in an attempt to help the team, they execute a product launch and closes a project on their own, without notifying the product owner or any other team member. After closure, the team member emails the whole team a list of lessons learned and quality improvements to be implemented across the portfolio.

Which two actions should the project team take to improve team communication? (Choose 2)","Archive the project artifacts and update the lessons learned register.","Revisit the correct project process roles and responsibilities at the next retrospective.","Congratulate and thank the team member for their hard work.","Update the quality policy and project management plan.","Examine the project team-building or team-formation framework.","B,E","The team member has acted to close a project without the team. While the team member might have had the best of intentions or produced a positive outcome, their way of working is out of scope for healthy project team communication. Team members should not act alone, without the product owner, to close a project. Although virtual teams can suffer from poor communication, the problem here could also be a weak sense of team identity or a team member who does not have the correct training or know the team’s way of working. The team member might have even ignored the team’s way of working for professional advancement or in the genuine best interest of the project. Whatever the case, this team is disunified and it needs to be reunified. Revisit the correct project process roles and responsibilities at the next retrospective and examine how well this team’s framework is working to make necessary changes.","1.11.","Agnostic","","draft",""
"single_choice","An agile project team is joined by a newly hired team member who is highly skilled but has only worked on predictive project teams. After working with the team for 1 month, the project team has scheduled a product demo with the client, an external customer. The client gives direct and passionate feedback: “This mechanism is overcomplicated. Customers won’t like it. We can’t support it. Start over!” The new team member begins crying and immediately exits the room.

How should the project team react?","Use emotional intelligence (EI) to coach the client on how to interact in future situations.","Tell the new team member they must respect and listen to all client feedback.","Discuss expectations around communications and team ground rules at the next retrospective.","Move the new team member to a less critical project until they become more comfortable using agile approaches.","","C","The best approach here is to utilize the retrospectives by maintaining the healthy and strong relationships among all stakeholders. As a new member of the project team and new to an agile working environment, they will need help understanding expectations, how a psychologically safe environment works, and coaching from the team. Unfortunately, clients and customers sometimes do react passionately or negatively; this is reality. A unified, empowered team culture built on effective and safe communication and organizational policies is the best defense against this kind of behavior. It is not a project team’s job to coach a client or customer on emotional intelligence (EI).","1.13.","Agile","","draft",""
"single_choice","A project manager in a software company is working on a highly confidential project. One developer often works late and carries a large bag to work daily. The project manager learns that the developer’s brother-in-law works for a competitor company and they have been meeting for lunch.

What should the project manager do first?","Report the developer to the company's security department and let them assess the threat.","Escalate these suspicions to the project sponsor and seek guidance.","Watch the developer closely for a week and ensure nothing is removed from the office.","Check that the developer has signed the nondisclosure agreement (NDA) and revisit the team charter with the team.","","D","Although there are concerns, there is no proof the developer is doing anything sinister or wrong. Playing vigilante is the opposite of an environment built on trust and psychological safety and may create negative morale. By checking the nondisclosure agreement (NDA) and signed security protocols first and ensuring the team is reminded of the ground rules in the team charter, you have done your due diligence as project manager. If needed, any concerns should be discussed with the project sponsor.","1.2
3.1","Agnostic","","draft",""
"single_choice","A large, valuable sculpture in a big city needs to be moved safely from one location to another. This is project A, which must be done before project B, the city’s largest infrastructure project, can begin. After a 2-week delay, the project managers meet. Project manager A announces another 6 months and US$900,000 will be needed to remove the sculpture and success cannot be guaranteed.

What should project manager B do?","Cancel the project and disband the team until the roadmap for project A can be fixed.","Brainstorm an alternative solution with the stakeholders of both projects.","Perform a Monte Carlo simulation on the possible outcomes.","Prepare a risk assessment on project A using a Stacey matrix.","","B","The dependencies between these two projects present a great challenge to the project B team. They need to balance their internal and stakeholders’ priorities as well as the owners of project B, who are also stakeholders. The only way to do this is to prioritize positive project outcomes.","2.1
2.3","Agnostic","","draft",""
"single_choice","The latest progress reports indicate that a software development project is within tolerance and forecasted to be completed on time and on budget. The product owner requests a change to the agreed specification, which will require significant rework of completed work packages and the introduction of new work. Although the reasons for the change are justifiable, the project manager is concerned about schedule and budget impacts.

Which action should be taken first?","The project manager should approve the change request and work with the product owner to figure out how best to complete the work in the shortest amount of time.","The product owner should approve the change request and work with the project manager to establish new cost and schedule baselines.","The project manager and product owner should meet with key stakeholders to establish the budget and schedule impacts, agree on rework, and determine the priority of the change.","The project manager and product owner should escalate the change request to the project sponsor for approval as it affects the budget and schedule.","","C","In this scenario, the project manager and product owner should work together to assess the impact of the change. Key stakeholders should be consulted to quantify the impact to the schedule and budget and help determine the business priority of the change and ensure it aligns with the project’s objectives. Escalating the final decision to the project sponsor might be necessary if the assessment determines that the change is required but is outside any delegated authority for approval.","2.1.
2.10.","Hybrid","","draft",""
"single_choice","Two weeks after taking on a leadership role in a project, a project manager has completed the project team and key stakeholder analysis. Now they want to show the team how to organize a project and learn about project management. Training the team in project management is a high priority for stakeholders, especially the CEO.

Which action should the project manager perform next?","Introduce the framework for the project and use servant leadership to explain why the framework will help to structure their work.","Update the project management plan explaining the cost and schedule baselines to the project team.","Create the team charter and ground rules including project management coaching as part of the team culture.","Send the core team members to project management training in agile and predictive approaches.","","A","A project manager has a good understanding of the project team and stakeholders for this project and is now ready to establish the project management framework. This is the next step in the project and, through servant leadership, can show the team how it is done, which will also satisfy the stakeholders. The other tasks should also be performed, but the first step for the project manager to complete on this list is to establish the project framework.","2.10
1.14","Agnostic","","draft",""
"single_choice","A company is contracted to manufacture oil storage tanks for a construction project. According to the latest project report, the tanks are missing a venting system, as required by international industry standards. The project manager seeks advice from the company’s operations supervisor, who states that this will have an adverse effect on the quality of the product.

What should the project manager do to correct the situation?","Allow the vendor to complete the construction and the owner to fix the issue after the product is delivered.","Empower the team to create a makeshift venting system that meets the standards.","Initiate a change request with justification for the design of a venting system for the tank.","Alert the vendor about the flawed design and insist they fix it as it was in scope of their contract.","","C","Because this is a serious design flaw that impacts product quality and project  success, it must be rectified. The best approach is to obtain change request approval for the execution of the missing work.","2.10.","Agnostic","","draft",""
"single_choice","An oil and gas plant construction project had been progressing on schedule and within budget. Six months into the project, the company owner visits the site for a formal tour. After the tour, the owner asks the project manager to replace the edifice of the office building with marble—an expensive cosmetic change! Even though the project manager explained to the owner that this work would escalate the cost of the project and might delay completion, the owner insisted on using the marble.

What should the project manager do?","Refuse to do the work and ask for a transfer from the project.","Start the work immediately, using funds from the management contingency reserves.","Write a formal change request and send it to the change control board (CCB) for approval.","Discuss the matter with the program manager and convince them to deny the change.","","C","Even though a change can negatively affect or distract from a project’s goals, if a powerful and influential stakeholder insists on it, the change must be taken seriously. Hence the work should be done as required by the company owner, despite the delay and cost involved. Execute this change like any other by submitting a change request and obtaining approval from the change control board (CCB) after determining the cost and time required for the change.","2.10.","Agnostic","","draft",""
"single_choice","A project manager in a nonprofit organization is working with the procurement department to identify new startup companies to bid for a major new project. The organization is committed to working with startup companies because of its public funding stream. However, in the past, many of these bid applications have contained unrealistic budgets because of the startups’ inexperience or higher costs because of the small size of their operation.

What should the project manager do?","Issue a request for quotation (RFQ) before the request for proposal (RFP).","Advertise a request for proposal (RFP) in the usual way.","Obtain an independent estimate.","Host a bidder conference.","","C","In this case, the project manager should understand the estimated cost of the work that needs to be done before conducting procurement, so that there is a baseline for comparison when the bids are submitted. The only way to do this is by obtaining an independent estimate first. Then hosting a bidder conference can help ensure that any vendor bidding on the project has all the information they need and is able to ask questions before submitting a viable bid for consideration. Whether bids are submitted by knowledgeable vendors with accurate estimates or budgets or not, the project manager needs to know the approximate cost of the work.","2.11.","Agnostic","","draft",""
"single_choice","An agile team sometimes uses an open workspace inside an otherwise quiet office. One afternoon, a giant screen is set up and customers are invited to a presentation. Approximately 1 hour later, the team is laughing and cheering so loudly that the entire office comes to see what is going on.

Which event is taking place here?","Retrospective","Daily standup","Product review","Scrum of scrums","","C","This agile event or ceremony is a product demo or review meeting, where the core features and capabilities of a product are demonstrated to customers. These happen during testing intervals, which fits the description in the scenario. It is neither a standup, which happens daily, nor a team conversation, which would indicate a retrospective. A scrum of scrums is a meeting of several teams together.","2.13.","Agile","","draft",""
"multiple_response","The project sponsor, the CEO of a construction company, hires a project manager to lead and establish project management best practices. The company has a global project involving highly technically skilled teams in different countries who tried to create a project charter, but the document is not adequate.

Which two actions should the project manager take first? (Choose 2)","Invite the whole project team to a kickoff meeting and distribute assignments.","Meet every team member and key stakeholder to better understand their needs.","Review the project charter created by the global project team and revise it.","Train all team members in project management principles and key practices.","Hire new team members with better project management skills.","B,C","The best approach is for the project manager to start understanding the project situation by meeting all project team members and key stakeholders to better understand the project's current status, key issues requiring immediate attention, project priorities, and short-term deliverables, then reviewing and revising the project charter. The problems with this company’s project team include geographical dispersion and lack of project management skills. They are highly skilled in their technical work, so the option of hiring new project team members is not a wise choice.","2.4
1.8","Agnostic","","draft",""
"single_choice","An agile team is prioritizing user stories for an app that helps people adopt dogs. After considering the impact on the project's scope, budget, and time line, the team decides to exclude one user story because it is too complex to implement for the app's first release. The product owner believes this specific user story will give the app an early competitive advantage over the current market leader.

How should this project team and product owner work together to make the best decision?","Investigate whether the complexity of the user story creates a risk for implementation in the first release.","Conduct a cost-benefit analysis, including competitive advantage, market impact, and strategic alignment.","Revisit the project’s budget and time line to accommodate the additional work and adjust the project schedule and resource allocation.","Present alternative solutions that could mitigate the negative impact if the user story is excluded.","","B","This agile team and product owner should work together to figure out whether the effort required to fulfil this user story is worth the extra cost and effort that the project team expects. The cost-benefit analysis will help them all to understand the trade-offs involved in including the complex user story. By considering the potential benefits, costs, risks, and alignment with strategic objectives, the project team and product owner can make the best decision. This approach ensures that decisions are based on a thorough evaluation of all relevant factors and supports effective communication and collaboration with stakeholders.

Investigating the risk is important but will not evaluate all of the aspects needed for the team and product owner to make this decision. Revisiting the project's budget and time line to accommodate the user story is an important consideration for evaluating the impact on budget and time line, but it should not be the sole basis for the decision. A comprehensive cost-benefit analysis is needed. While identifying alternative solutions or workarounds can be a valid approach in certain situations, it may not directly address the stakeholders' objection regarding the competitive advantage.","3.3","Agile","","draft",""
"single_choice","A project team needs to decide whether to retrofit a fleet of bicycles as ebikes instead of buying brand new ones. The agile coach conducts a group exercise.

Review the notes on the whiteboard:

Retrofit old bikes
•	60% probability of success with a profit of US$50,000
•	40% chance it will lose US$50,000

Buy new bikes
•	50% chance of profit greater than US$25,000
•	50% chance of cost recovery

What is this project team doing?","Performing cost-benefit analysis","Using decision tree analysis","Executing a cost performance formula","Weighing two options using Pareto analysis","","B","This project team is using decision tree analysis to decide between the two options, using financial data, forecasting, modeling, and expert judgment.","2.8
2.1","Agnostic","","draft",""
"multiple_response","An agile team has been performing at an extremely high level and pace, receiving praise from stakeholders and customers. A portfolio manager has asked the team to start a community of practice (COP) for the organization. The team members vote unanimously against this because of the intense time commitment. Instead, they offer an open invitation to anyone to attend their retrospectives.

Which two statements describe this team’s reaction to the portfolio manager? (Choose 2)","The team is safeguarding its ability to sustain its high-performance level by turning down the community of practice (COP) opportunity.","The team is protecting its intellectual property (IP).","The team is acting in accordance with an agile mindset and values.","The team is acting selfishly in their own interest.","This team is prioritizing their standard of work over the organization’s continuous improvement.","A,C","This team has decided together to continue prioritizing their work and offering a way to share their successful ways of working with the organization by inviting others to attend their retrospectives. They did not have to agree to the portfolio manager’s suggestion, although it seemed to be a genuine improvement measure for the organization. Quite legitimately, because their environments can be very fast-paced and busy, agile teams need to ensure their work is conducted at a sustainable pace. Protecting their team’s time and space, ideating, voting, and offering a way to share their success with others in the organization—all demonstrate their agile mindset and values.","CI","Agile","","draft",""
